,Date,Index,Z_Score,threshold,MA,phase
154,1977-10-31,100.5656,0.014413118519812576,0,0.1902570619547398,slowdown
155,1977-11-30,100.6146,0.03441730628765146,0,0.118770118433187,slowdown
156,1977-12-31,100.6733,0.07222683674592528,0,0.05978636301865543,slowdown
157,1978-01-31,100.7452,0.11405071983000596,0,0.03750051703020912,slowdown
158,1978-02-28,100.8365,0.18172015496202865,0,0.05015844898103655,re-acceleration
159,1978-03-31,100.9665,0.30198380772580075,0,0.08882648417074843,re-acceleration
160,1978-04-30,101.12700000000001,0.4920897910084048,0,0.151283956876897,re-acceleration
161,1978-05-31,101.3001,0.7696967433449902,0,0.24757480980307675,re-acceleration
162,1978-06-30,101.4705,1.1169037223542189,0,0.3853861352823776,re-acceleration
163,1978-07-31,101.6264,1.5445751120148035,0,0.5741558609982715,re-acceleration
164,1978-08-31,101.7525,2.0113197949671444,0,0.816542480775924,re-acceleration
165,1978-09-30,101.8403,2.3950860644709437,0,1.1016718988560412,re-acceleration
166,1978-10-31,101.8796,2.554719816953059,0,1.3982968566049199,re-acceleration
167,1978-11-30,101.8822,2.5218401645389843,0,1.6757789012065678,re-acceleration
168,1978-12-31,101.87200000000001,2.3818952810859155,0,1.9120045874662566,re-acceleration
169,1979-01-31,101.8662,2.2024433105628765,0,2.0910979083684924,re-acceleration
170,1979-02-28,101.8652,1.9879561798052485,0,2.199979465549871,re-acceleration
171,1979-03-31,101.8509,1.88437931984065,0,2.242454991528102,re-acceleration
172,1979-04-30,101.804,1.7378869784982522,0,2.2082758894694905,slowdown
173,1979-05-31,101.7198,1.5410931270895667,0,2.1015267722968183,slowdown
174,1979-06-30,101.596,1.2885062916356966,0,1.9432500816321479,slowdown
175,1979-07-31,101.4395,0.9878901136569154,0,1.7515063252718892,slowdown
176,1979-08-31,101.2606,0.6407435745620841,0,1.5338623619564102,slowdown
177,1979-09-30,101.0622,0.09054397086277624,0,1.269874944493898,slowdown
178,1979-10-31,100.8415,-0.3274401983281487,0,0.9804503972272234,slowdown
179,1979-11-30,100.6007,-0.7775370889821007,0,0.6477108461243796,slowdown
180,1979-12-31,100.3447,-1.2296751637968122,0,0.27676557833749654,slowdown
181,1980-01-31,100.0747,-1.6521535643074434,0,-0.12239025808712972,contraction
182,1980-02-29,99.77792,-2.0355355699891327,0,-0.5378954907902334,contraction
183,1980-03-31,99.50704,-2.287225833286222,0,-0.9472849841581255,contraction
184,1980-04-30,99.28514,-2.404780765292012,0,-1.3279755266398874,contraction
185,1980-05-31,99.16445999999999,-2.372403733985661,0,-1.6358439897459423,contraction
186,1980-06-30,99.17155,-2.211863787887848,0,-1.8713969384409048,contraction
187,1980-07-31,99.28407,-1.9770160615846037,0,-2.0213318100162176,contraction
188,1980-08-31,99.45145,-1.7248632115391995,0,-2.083230315984016,contraction
189,1980-09-30,99.61832,-1.5034523755009013,0,-2.0646426673831986,recovery
190,1980-10-31,99.74197,-1.3452378367398594,0,-1.9783554507270393,recovery
191,1980-11-30,99.80645,-1.2574468647492256,0,-1.849633079659915,recovery
192,1980-12-31,99.82666,-1.2190578184498109,0,-1.70141771130464,recovery
193,1981-01-31,99.82802,-1.201657205500369,0,-1.5550743952439787,recovery
194,1981-02-28,99.82732,-1.1879192846739144,0,-1.4270813323422369,recovery
195,1981-03-31,99.82831,-1.1129049350724836,0,-1.319067441528222,recovery
196,1981-04-30,99.81106,-0.8944394996712396,0,-1.215264477544727,recovery
197,1981-05-31,99.75238,-0.7045020557703485,0,-1.115395687578408,recovery
198,1981-06-30,99.65987,-0.5369596551276762,0,-1.014360914876885,recovery
199,1981-07-31,99.5502,-0.3929600196619932,0,-0.906300059240981,recovery
200,1981-08-31,99.43108000000001,-0.39161909585819105,0,-0.8028702189170285,recovery
201,1981-09-30,99.3019,-0.5244289565510433,0,-0.7182166877983628,recovery
202,1981-10-31,99.17171,-0.6631673171978978,0,-0.6526226918638607,recovery
203,1981-11-30,99.04534,-0.7962313574557566,0,-0.6130384946617697,recovery
204,1981-12-31,98.91927,-0.9335751744966237,0,-0.6179304540149427,double_dip
205,1982-01-31,98.77887,-1.0874874542927142,0,-0.6658036288302385,double_dip
206,1982-02-28,98.60569,-1.2755156104963503,0,-0.7581231232513228,double_dip
207,1982-03-31,98.41348,-1.506168515962399,0,-0.8972741852888735,double_dip
208,1982-04-30,98.22146,-1.7145290379735556,0,-1.062637928053294,double_dip
209,1982-05-31,98.04765,-1.8886612695307468,0,-1.233166967175757,double_dip
210,1982-06-30,97.90366,-2.0351183240400967,0,-1.404660843031032,double_dip
211,1982-07-31,97.80889,-2.1179707808748685,0,-1.569878270958421,double_dip
212,1982-08-31,97.78526,-2.1205870596134506,0,-1.7182547565980242,double_dip
213,1982-09-30,97.84563,-2.036111366413769,0,-1.836832745613156,double_dip
214,1982-10-31,97.98772,-1.8018740296866134,0,-1.9026275480119386,double_dip
215,1982-11-30,98.19872,-1.4716281490335332,0,-1.8983100021458303,recovery
216,1982-12-31,98.46878000000001,-1.1299590711972656,0,-1.825238756298794,recovery
217,1983-01-31,98.77728,-0.6408996279795177,0,-1.6692685511048904,recovery
218,1983-02-28,99.09148,-0.11584856237903834,0,-1.4293598308972582,recovery
219,1983-03-31,99.40784000000001,0.3422965937605366,0,-1.1218264090678325,recovery
220,1983-04-30,99.7084,0.7687583692316536,0,-0.7606582304621945,recovery
221,1983-05-31,99.98340999999999,1.055627706942102,0,-0.37419084629271054,recovery
222,1983-06-30,100.2287,1.261506538227983,0,0.008731724696614013,expansion
223,1983-07-31,100.4365,1.3962869448328288,0,0.36722111142990926,expansion
224,1983-08-31,100.6076,1.542943511974243,0,0.7013339343263478,expansion
225,1983-09-30,100.7537,1.6424572878745316,0,0.986753548808104,expansion
226,1983-10-31,100.8799,1.7074890617233704,0,1.2146707518209052,expansion
227,1983-11-30,100.9829,1.7394606495347105,0,1.3893162587926768,expansion
228,1983-12-31,101.0564,1.7377455587227368,0,1.5104396574790624,expansion
229,1984-01-31,101.0898,1.6992480544825115,0,1.5908922009216135,expansion
230,1984-02-29,101.0717,1.6209312048166453,0,1.6358202842451963,expansion
231,1984-03-31,101.0035,1.509847255800442,0,1.650015323116148,expansion
232,1984-04-30,100.9003,1.3812327485003886,0,1.6298014776819163,slowdown
233,1984-05-31,100.7764,1.2463525311641852,0,1.580288383093123,slowdown
234,1984-06-30,100.6392,1.1096122509003585,0,1.5055537817402465,slowdown
235,1984-07-31,100.5072,0.9846470711072994,0,1.41120208443682,slowdown
236,1984-08-31,100.3902,0.877644258116383,0,1.303689421861026,slowdown
237,1984-09-30,100.2905,0.6175801325034462,0,1.1684809316136429,slowdown
238,1984-10-31,100.2179,0.3128174012858701,0,1.0049667061722958,slowdown
239,1984-11-30,100.1797,0.08249767349845452,0,0.8265480083845475,slowdown
240,1984-12-31,100.1742,-0.002316314766191012,0,0.653604375476225,slowdown
241,1985-01-31,100.1883,0.0036407501580088177,0,0.49826540285045284,slowdown
242,1985-02-28,100.1946,0.002694032679392005,0,0.35990062557283203,slowdown
243,1985-03-31,100.1987,0.0017832511331881701,0,0.23704264807606812,slowdown
244,1985-04-30,100.1954,-0.0014733190532525166,0,0.12715295092986367,slowdown
245,1985-05-31,100.1753,-0.020168829526875136,0,0.0474343306760735,slowdown
246,1985-06-30,100.1321,-0.0634539197852216,0,0.0004004155421870395,slowdown
247,1985-07-31,100.0645,-0.13875316128855986,0,-0.027255938806189758,contraction
248,1985-08-31,99.99025999999999,-0.2361932997167864,0,-0.056490561925014185,contraction
249,1985-09-30,99.92376999999999,-0.3466659319512239,0,-0.10027889718866827,contraction
250,1985-10-31,99.87589,-0.45938897843060283,0,-0.15803927357741762,contraction
251,1985-11-30,99.84626999999999,-0.5713901020021603,0,-0.22968594271933618,contraction
252,1985-12-31,99.82899,-0.6821731016689554,0,-0.31477341554629906,contraction
253,1986-01-31,99.81618,-0.7900779023148071,0,-0.41101204964479054,contraction
254,1986-02-28,99.79467,-0.9053025078580682,0,-0.5162431231538964,contraction
255,1986-03-31,99.77076,-0.998413826477872,0,-0.6237007063025605,contraction
256,1986-04-30,99.7512,-1.0484579942628875,0,-0.725233793120823,contraction
257,1986-05-31,99.73250999999999,-1.0726249943639272,0,-0.815978675922411,contraction
258,1986-06-30,99.71916,-1.0705812241820147,0,-0.8923777066413375,contraction
259,1986-07-31,99.71276999999999,-1.0524476894808295,0,-0.9525099050761712,contraction
260,1986-08-31,99.71928,-1.007755141695108,0,-0.9932076600794403,contraction
261,1986-09-30,99.73814,-0.9521005337249152,0,-1.0134604890057037,contraction
262,1986-10-31,99.76765999999999,-0.895958000577864,0,-1.0122924255956782,recovery
263,1986-11-30,99.81879,-0.7622565203437898,0,-0.982772762328918,recovery
264,1986-12-31,99.90406,-0.46948929831564334,0,-0.9104016753355124,recovery
265,1987-01-31,100.0384,-0.034281387411201576,0,-0.7806087244664217,recovery
266,1987-02-28,100.2142,0.47311397993355986,0,-0.5876468239519749,recovery
267,1987-03-31,100.4131,1.1602796534086568,0,-0.31105590609078904,recovery
268,1987-04-30,100.6166,1.927553401399557,0,0.055857661796044095,expansion
269,1987-05-31,100.8067,2.5572772382494855,0,0.49452988329284414,expansion
270,1987-06-30,100.9631,2.871996058483253,0,0.9655241406754839,expansion
271,1987-07-31,101.0595,2.8754648646770935,0,1.4202393138030942,expansion
272,1987-08-31,101.0771,2.6677924164560434,0,1.812399528149555,expansion
273,1987-09-30,101.0144,2.3362744360063687,0,2.1087190060767513,expansion
274,1987-10-31,100.8989,1.9637152696114408,0,2.2950441672864863,expansion
275,1987-11-30,100.7711,1.6212366222863264,0,2.3526637883961947,expansion
276,1987-12-31,100.6702,1.3694026537892905,0,2.2828949449449114,slowdown
277,1988-01-31,100.5547,1.1031655752611333,0,2.1011309870713673,slowdown
278,1988-02-29,100.4927,0.9613149343857557,0,1.86229584655918,slowdown
279,1988-03-31,100.4801,0.9289434026254844,0,1.6189806638027286,slowdown
280,1988-04-30,100.5138,0.9957814290181283,0,1.4099792903729893,slowdown
281,1988-05-31,100.5833,1.1356427994230303,0,1.259900335800072,slowdown
282,1988-06-30,100.6671,1.2994634873924988,0,1.1768688630227042,slowdown
283,1988-07-31,100.7413,1.2811687725567225,0,1.1343603818065036,slowdown
284,1988-08-31,100.8012,1.002986879402965,0,1.0885584100082129,slowdown
285,1988-09-30,100.8414,0.8042475297003194,0,1.051193654313111,slowdown
286,1988-10-31,100.8683,0.7732221734475745,0,1.0276820591958384,slowdown
287,1988-11-30,100.8854,0.7720522520040408,0,1.008070665368158,slowdown
288,1988-12-31,100.8897,0.7196967469132769,0,0.9735600801050515,slowdown
289,1989-01-31,100.8781,0.6305322350234743,0,0.9104212595551071,slowdown
290,1989-02-28,100.8458,0.5089235836459216,0,0.811603771586785,slowdown
291,1989-03-31,100.7951,0.3247292911668632,0,0.6920488364130526,slowdown
292,1989-04-30,100.7275,0.12885397248325003,0,0.5827822230480881,slowdown
293,1989-05-31,100.6516,-0.03896945217089486,0,0.4773801003141863,slowdown
294,1989-06-30,100.5843,-0.20335722905520145,0,0.3553076750013393,slowdown
295,1989-07-31,100.5347,-0.3444551101310638,0,0.21574425473445125,slowdown
296,1989-08-31,100.5017,-0.463371688645462,0,0.06786070028960889,slowdown
297,1989-09-30,100.4828,-0.5641420229017623,0,-0.08147358195104569,contraction
298,1989-10-31,100.4758,-0.6503545434114065,0,-0.2263833478332117,contraction
299,1989-11-30,100.4876,-0.689511149314502,0,-0.3531634028933823,contraction
300,1989-12-31,100.5151,-0.6672859316201548,0,-0.4526808909063079,contraction
301,1990-01-31,100.545,-0.6061171123391832,0,-0.523574348427344,contraction
302,1990-02-28,100.557,-0.5921056931686475,0,-0.5721679064415247,contraction
303,1990-03-31,100.54700000000001,-0.6610917121950686,0,-0.6117474816995254,contraction
304,1990-04-30,100.4967,-0.9210113737759136,0,-0.6689524423408318,contraction
305,1990-05-31,100.3972,-1.3624700842396669,0,-0.7687434500080699,contraction
306,1990-06-30,100.2309,-1.9247969231541597,0,-0.928048747475914,contraction
307,1990-07-31,99.99669,-2.678020543441235,0,-1.1766124217417557,contraction
308,1990-08-31,99.7072,-3.3618011764214133,0,-1.513426827341913,contraction
309,1990-09-30,99.3996,-3.653354073900183,0,-1.894331447537038,contraction
310,1990-10-31,99.10883000000001,-3.673388673003744,0,-2.279491820016425,contraction
311,1990-11-30,98.87301,-3.523397788218218,0,-2.6372800795193188,contraction
312,1990-12-31,98.72625,-3.2765981314495605,0,-2.9317284242285244,contraction
313,1991-01-31,98.67532,-2.9700250725295345,0,-3.1326727977647577,contraction
314,1991-02-28,98.71753000000001,-2.663063089009762,0,-3.224956068496708,contraction
315,1991-03-31,98.83165,-2.350506610344869,0,-3.1840168268596623,recovery
316,1991-04-30,98.97594000000001,-2.0668347676768426,0,-3.022146025766591,recovery
317,1991-05-31,99.12098,-1.8065393905764557,0,-2.7912941903511252,recovery
318,1991-06-30,99.25224,-1.6029519131353902,0,-2.532489595367581,recovery
319,1991-07-31,99.34872,-1.4635976689600811,0,-2.2750145804603137,recovery
320,1991-08-31,99.39098,-1.4029012800283065,0,-2.040802474032657,recovery
321,1991-09-30,99.38663000000001,-1.408873320149174,0,-1.8456585049851117,recovery
322,1991-10-31,99.35087,-1.411990678433477,0,-1.689274453663076,recovery
323,1991-11-30,99.30365,-1.3291969794780587,0,-1.5616107498047247,recovery
324,1991-12-31,99.26987,-1.1262791685418414,0,-1.4440412999128496,recovery
325,1992-01-31,99.26538000000001,-0.7969257889006,0,-1.3178395997033676,recovery
326,1992-02-29,99.28204000000001,-0.3765284240256896,0,-1.164536663564655,recovery
327,1992-03-31,99.30561999999999,-0.1273683403489908,0,-0.9975079974882687,recovery
328,1992-04-30,99.31536,-0.10687911048449458,0,-0.8355052262952922,recovery
329,1992-05-31,99.2865,-0.12252399703340068,0,-0.6747115609058205,recovery
330,1992-06-30,99.2098,-0.21309835237739808,0,-0.5248500201488107,recovery
331,1992-07-31,99.09566,-0.36686599446013424,0,-0.40455864702157013,recovery
332,1992-08-31,98.96754,-0.5415240787543698,0,-0.3314642607981362,recovery
333,1992-09-30,98.85755,-0.7176837085388428,0,-0.32155900075291655,recovery
334,1992-10-31,98.78219,-0.8386016567124635,0,-0.3793181548387633,double_dip
335,1992-11-30,98.74718,-0.9001045517750048,0,-0.47591018126701506,double_dip
336,1992-12-31,98.74372,-0.9243027473750611,0,-0.5780881358783359,double_dip
337,1993-01-31,98.75174,-0.9422205631006575,0,-0.6805502066367429,double_dip
338,1993-02-28,98.76114,-0.9727891552664791,0,-0.7755115569978781,double_dip
339,1993-03-31,98.76576,-0.99374967304395,0,-0.853872016820855,double_dip
340,1993-04-30,98.77282,-0.9374170995456343,0,-0.9033586444197631,double_dip
